tgrac_fid,tgrac_s_no,tgrac_mandal_name,tgrac_district,tgrac_revenue_division,canonical_pilot_id,lgd_code_available,temporal_regime,status
109,127,"Gandhari","Kamareddy","Banswada",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
110,419,"Gandipet","Rangareddy","Chevella",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
111,146,"Gangadhara","Karimnagar","Jagtial",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
112,48,"Golkonda","Hyderabad","HYDERABAD",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
113,383,"Mosra","Nizamabad","Bodhan",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
114,418,"Farooqnagar","Rangareddy","Chevella",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
115,87,"Tharigoppula","Jangoan","Ganpur_stn",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
116,156,"Thimmapur","Karimnagar","Huzurabad",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
117,112,"Gadwal","Jogulamba Gadwal","Gadwal",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
118,472,"Gajwel","Siddipet","Gajwel",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
119,49,"Himayatnagar","Hyderabad","HYDERABAD",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
120,412,"Yellareddypet","Rajanna Sircilla","Kamareddy",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
121,77,"Chilpur","Jangoan","Ganpur_stn",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
122,196,"Chinnagudur","Mahabubabad","Mahabubabad",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
123,147,"Ganneruvaram","Karimnagar","Karimnagar",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
124,493,"Garidepalli","Suryapet","Kodad",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
125,200,"Garla","Mahabubabad","Khammam",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
