ac_no,constituency,district,type,winner_name,winner_party,winner_votes,margin,runner_name,runner_party
163,Entally,Kolkata,GEN,Swarna Kamal Saha,AITC,101709,58257,Priyanka Tibrewal,BJP
164,Beleghata,Kolkata,GEN,Paresh Paul,AITC,103182,67140,Kashinath Biswas,BJP
165,Jorasanko,Kolkata,GEN,Vivek Gupta,AITC,52123,12743,Meena Devi Purohit,BJP
166,Shyampukur,Kolkata,GEN,Dr. Shashi Panja,AITC,55785,22520,Sandipan Biswas,BJP
167,Maniktala,Kolkata,GEN,Sadhan Pande,AITC,67577,20238,Kalyan Chaubey,BJP
168,Kashipur-Belgachia,Kolkata,GEN,Atin Ghosh,AITC,76182,35390,Sibaji Sinha Roy,BJP
169,Bally,Howrah,GEN,Rana Chatterjee,AITC,53347,6237,Baishali Dalmiya,BJP
170,Howrah Uttar,Howrah,GEN,Gautam Chowdhuri,AITC,71575,5522,Umesh Rai,BJP
171,Howrah Madhya,Howrah,GEN,Arup Roy,AITC,111554,46547,Sanjay Singh,BJP
172,Shibpur,Howrah,GEN,Manoj Tiwary,AITC,92372,32603,Rathin Chakrabarty,BJP
173,Howrah Dakshin,Howrah,GEN,Nandita Chowdhury,AITC,116839,50569,Rantidev Sengupta,BJP
174,Sankrail,Howrah,SC,Priya Paul,AITC,111888,40427,Probhakar Pandit,BJP
175,Panchla,Howrah,GEN,Gulsan Mullick,AITC,104572,32751,Mohit Lal Ghanti,BJP
176,Uluberia Purba,Howrah,GEN,Bidesh Ranjan Bose,AITC,86526,17126,Pratyush Mandal,BJP
177,Uluberia Uttar,Howrah,SC,Dr. Nirmal Maji,AITC,91501,21003,Chiran Bera,BJP
178,Uluberia Dakshin,Howrah,GEN,Pulak Roy,AITC,101880,28438,Papia Dey (Adhikary),BJP
179,Shyampur,Howrah,GEN,Kalipada Mandal,AITC,114804,31511,Tanusree Chakraborty,BJP
180,Bagnan,Howrah,GEN,Arunava Sen (Raja),AITC,106042,30120,Anupam Mallik,BJP
181,Amta,Howrah,GEN,Sukanta Kumar Paul,AITC,102445,26205,Debtanu Bhattacharya,BJP
182,Udaynarayanpur,Howrah,GEN,Samir Kumar Panja,AITC,101510,13998,Sumit Ranjan Karar,BJP
183,Jagatballavpur,Howrah,GEN,Sitanath Ghosh,AITC,116562,29196,Anupam Ghosh,BJP
184,Domjur,Howrah,GEN,Kalyan Ghosh,AITC,130499,42620,Rajib Banerjee,BJP
185,Uttarpara,Hooghly,GEN,Kanchan Mullick,AITC,93878,35989,Prabir Kumar Ghosal,BJP
186,Sreerampur,Hooghly,GEN,Dr. Sudipto Roy,AITC,93021,23433,Kabir Shankar Bose,BJP
187,Champdani,Hooghly,GEN,Arindam Guin (Bubai),AITC,100972,30078,Dilip Singh,BJP
188,Singur,Hooghly,GEN,Becharam Manna,AITC,101077,25923,Rabindranath Bhattacharya,BJP
189,Chandannagar,Hooghly,GEN,Indranil Sen,AITC,86778,31029,Deepanjan Kumar Guha,BJP
190,Chunchura,Hooghly,GEN,Asit Mazumder (Tapan),AITC,117104,18417,Locket Chatterjee,BJP
191,Balagarh,Hooghly,SC,Manoranjan Byapari,AITC,100364,5784,Subhas Chandra Haldar,BJP
192,Pandua,Hooghly,GEN,Dr. Ratna De Nag,AITC,102874,31858,Partha Sharma,BJP
193,Saptagram,Hooghly,GEN,Tapan Dasgupta,AITC,93328,9772,Debabrata Biswas,BJP
194,Chanditala,Hooghly,GEN,Swati Khandoker,AITC,103118,41347,Yash Dasgupta,BJP
